"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Listeriosis","Confirmed cases","Reported cases","N","2007","AT","Austria",20.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","BE","Belgium",57.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","BG","Bulgaria",11.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","CY","Cyprus",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","CZ","Czechia",51.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","DE","Germany",356.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","DK","Denmark",58.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EE","Estonia",3.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EL","Greece",10.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","ES","Spain",82.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EU27_21","EU (without UK)",1321.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EU27_UK_21","EU (with UK until 2019)",1581.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",1374.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",1634.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","FI","Finland",40.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","FR","France",319.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","HU","Hungary",9.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","IE","Ireland",21.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","IS","Iceland",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","IT","Italy",89.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","LI","Liechtenstein",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","LT","Lithuania",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","LU","Luxembourg",6.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","LV","Latvia",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","MT","Malta",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","NL","Netherlands",68.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","NO","Norway",49.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","PL","Poland",43.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","RO","Romania",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","SE","Sweden",56.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","SI","Slovenia",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","SK","Slovakia",9.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2007","UK","United Kingdom",260.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","AT","Austria",31.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","BE","Belgium",64.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","BG","Bulgaria",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","CY","Cyprus",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","CZ","Czechia",37.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","DE","Germany",306.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","DK","Denmark",51.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EE","Estonia",8.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EL","Greece",1.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","ES","Spain",88.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EU27_21","EU (without UK)",1219.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EU27_UK_21","EU (with UK until 2019)",1425.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EUEEA30_21","EU/EEA (without UK)",1253.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",1459.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","FI","Finland",40.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","FR","France",276.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","HU","Hungary",19.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","IE","Ireland",13.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","IS","Iceland",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","IT","Italy",118.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","LI","Liechtenstein",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","LT","Lithuania",7.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","LU","Luxembourg",1.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","LV","Latvia",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","MT","Malta",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","NL","Netherlands",45.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","NO","Norway",34.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","PL","Poland",33.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","RO","Romania",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","SE","Sweden",60.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","SI","Slovenia",3.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","SK","Slovakia",8.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2008","UK","United Kingdom",206.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","AT","Austria",46.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","BE","Belgium",58.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","BG","Bulgaria",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","CY","Cyprus",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","CZ","Czechia",32.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","DE","Germany",394.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","DK","Denmark",97.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EE","Estonia",3.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EL","Greece",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","ES","Spain",121.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EU27_21","EU (without UK)",1440.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EU27_UK_21","EU (with UK until 2019)",1675.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",1471.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",1706.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","FI","Finland",34.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","FR","France",328.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","HU","Hungary",16.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","IE","Ireland",10.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","IS","Iceland",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","IT","Italy",109.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","LT","Lithuania",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","LU","Luxembourg",3.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","LV","Latvia",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","MT","Malta",0.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","NL","Netherlands",44.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","NO","Norway",31.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","PL","Poland",32.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","RO","Romania",6.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","SE","Sweden",73.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","SI","Slovenia",6.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","SK","Slovakia",10.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2009","UK","United Kingdom",235.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","AT","Austria",34.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","BE","Belgium",40.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","BG","Bulgaria",4.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","CY","Cyprus",1.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","CZ","Czechia",26.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","DE","Germany",377.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","DK","Denmark",62.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EE","Estonia",5.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EL","Greece",10.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","ES","Spain",129.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EU27_21","EU (without UK)",1487.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EU27_UK_21","EU (with UK until 2019)",1663.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",1510.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",1686.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","FI","Finland",71.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","FR","France",312.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","HU","Hungary",20.000000000,""
"Listeriosis","Confirmed cases","Reported cases","N","2010","IE","Ireland",10.000000000,""
