"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","AT","Austria",3386.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","BE","Belgium",3930.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","BG","Bulgaria",1136.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","CY","Cyprus",158.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","CZ","Czechia",17655.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","DE","Germany",55399.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","DK","Denmark",1648.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EE","Estonia",428.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EL","Greece",706.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","ES","Spain",3842.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EU27_21","EU (without UK)",141525.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EU27_UK_21","EU (with UK until 2019)",155082.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",143268.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",156825.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","FI","Finland",2724.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","FR","France",5313.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","HU","Hungary",6578.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IE","Ireland",440.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IS","Iceland",93.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","IT","Italy",6730.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LI","Liechtenstein",1.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LT","Lithuania",2270.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LU","Luxembourg",163.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","LV","Latvia",619.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","MT","Malta",85.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","NL","Netherlands",2464.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","NO","Norway",1649.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","PL","Poland",11160.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","PT","Portugal",438.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","RO","Romania",620.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SE","Sweden",3930.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SI","Slovenia",1336.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","SK","Slovakia",8367.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2007","UK","United Kingdom",13557.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","AT","Austria",2312.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","BE","Belgium",3831.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","BG","Bulgaria",1516.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","CY","Cyprus",169.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","CZ","Czechia",10707.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","DE","Germany",42885.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","DK","Denmark",3669.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EE","Estonia",647.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EL","Greece",792.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","ES","Spain",3833.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","EU27_21","EU (without UK)",123143.000000000,""
